update: {'val_acc': 0.7049180327868853, 'val_ep': 0} {'test_acc': 0.7435897435897436}
update: {'val_acc': 0.7540983606557377, 'val_ep': 1} {'test_acc': 0.7051282051282052}
update: {'val_acc': 0.7540983606557377, 'val_ep': 2} {'test_acc': 0.7564102564102564}
update: {'val_acc': 0.7704918032786885, 'val_ep': 3} {'test_acc': 0.7307692307692307}
update: {'val_acc': 0.7704918032786885, 'val_ep': 4} {'test_acc': 0.7692307692307693}
update: {'val_acc': 0.8032786885245902, 'val_ep': 5} {'test_acc': 0.7435897435897436}
update: {'val_acc': 0.8032786885245902, 'val_ep': 6} {'test_acc': 0.7307692307692307}
update: {'val_acc': 0.8032786885245902, 'val_ep': 8} {'test_acc': 0.7435897435897436}
update: {'val_acc': 0.8032786885245902, 'val_ep': 24} {'test_acc': 0.8333333333333334}
update: {'val_acc': 0.8360655737704918, 'val_ep': 29} {'test_acc': 0.8333333333333334}
update: {'val_acc': 0.8360655737704918, 'val_ep': 33} {'test_acc': 0.7948717948717948}
update: {'val_acc': 0.8360655737704918, 'val_ep': 38} {'test_acc': 0.7307692307692307}
{'test_acc': 0.7307692307692307}
